TYPE: PRACTICE
START_TIME: 2026-08-22T13:23:49.455158
START_SPEED_KMH: 135.2
LAP_TIME_MS: 69945
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,135.2,1.00,0.00,,-151.1,10.5,-179.9
205,8.2,136.0,1.00,0.00,,-143.0,10.5,-179.6
405,15.8,136.8,1.00,0.00,,-135.4,10.5,-179.4
605,23.4,137.6,1.00,0.00,,-127.8,10.6,-179.2
839,29.8,138.1,1.00,0.00,,-121.4,10.6,-179.1
1040,40.1,139.1,1.00,0.00,,-111.1,10.6,-179.0
1240,47.8,139.8,1.00,0.00,,-103.3,10.6,-178.9
1441,55.6,140.5,1.00,0.00,,-95.5,10.7,-178.9
1641,63.4,141.3,1.00,0.00,,-87.7,10.7,-178.9
1842,71.3,141.9,1.00,0.00,,-79.8,10.7,-179.0
2101,77.9,142.5,1.00,0.00,,-73.2,10.7,-179.0
2308,89.8,143.4,0.61,0.00,,-61.3,10.8,-179.1
2508,97.8,142.7,0.00,0.00,,-53.3,11.0,-179.2
2714,105.7,142.4,0.99,0.00,,-45.4,11.1,-179.3
2928,114.3,142.9,1.00,0.00,,-36.8,11.4,-179.4
3146,122.9,143.3,1.00,0.00,,-28.2,11.7,-179.4
3382,131.5,141.6,0.02,0.01,,-19.6,12.1,-179.5
3593,140.5,134.2,0.00,0.22,,-10.7,12.4,-179.5
3793,147.7,127.0,0.00,0.90,,-3.4,12.8,-179.5
3994,154.6,119.8,1.00,0.89,,3.4,13.0,-179.5
4210,161.6,112.3,0.00,0.87,,10.4,13.3,-179.5
4410,167.6,105.6,1.00,0.85,,16.4,13.6,-179.4
4610,173.3,98.8,1.00,0.81,,22.1,13.8,-179.3
4826,179.0,91.9,0.00,0.80,,27.8,14.0,-179.0
5027,183.9,85.9,0.00,0.80,,32.7,14.1,-178.7
5228,188.5,79.9,0.00,0.80,,37.3,14.3,-178.2
5434,192.4,74.3,0.00,0.85,,41.2,14.3,-177.7
5645,197.0,67.1,0.22,0.87,,45.6,14.4,-176.8
5845,200.6,60.7,0.99,0.87,,49.1,14.5,-176.0
6045,203.7,54.4,0.00,0.89,,52.1,14.5,-175.0
6247,206.6,48.3,0.00,0.91,,54.8,14.5,-174.1
6462,209.3,41.4,0.00,0.92,,57.3,14.5,-173.1
6663,211.4,35.2,0.00,0.93,,59.2,14.6,-172.2
6964,213.3,28.4,0.00,0.95,,61.0,14.6,-171.4
7178,215.2,19.0,0.00,0.97,,62.7,14.6,-170.6
7378,216.1,12.7,0.00,0.98,,63.5,14.6,-170.2
7578,216.6,6.7,0.00,0.98,,64.0,14.6,-170.0
7629,216.7,5.2,0.00,0.97,,64.1,14.6,-170.0
