TYPE: TARGET
START_TIME: 2026-08-22T13:23:58.107352
START_SPEED_KMH: 128.6
LAP_TIME_MS: 69576
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,128.6,1.00,0.00,,-235.9,10.2,-177.9
213,6.0,129.2,1.00,0.00,,-230.0,10.3,-178.9
434,13.8,129.9,1.00,0.00,,-222.2,10.3,-179.9
704,21.6,130.7,1.00,0.00,,-214.4,10.3,-180.6
914,31.4,131.8,1.00,0.00,,-204.7,10.3,-181.0
1131,38.7,132.5,1.00,0.00,,-197.3,10.4,-181.1
1349,47.3,133.5,1.00,0.00,,-188.7,10.4,-181.0
1562,55.4,134.3,1.00,0.00,,-180.6,10.4,-180.8
1768,62.9,135.1,1.00,0.00,,-173.1,10.4,-180.6
1979,71.1,136.1,1.00,0.00,,-165.0,10.4,-180.3
2182,78.7,136.7,1.00,0.00,,-157.4,10.5,-180.1
2313,83.7,137.3,1.00,0.00,,-152.3,10.5,-179.9
